"jurisdiction","date","year","month","day","cases","deaths"
"Austria",2019-12-31,2019,12,31,0,0
"Austria",2020-01-01,2020,1,1,0,0
"Austria",2020-01-02,2020,1,2,0,0
"Austria",2020-01-03,2020,1,3,0,0
"Austria",2020-01-04,2020,1,4,0,0
"Austria",2020-01-05,2020,1,5,0,0
"Austria",2020-01-06,2020,1,6,0,0
"Austria",2020-01-07,2020,1,7,0,0
"Austria",2020-01-08,2020,1,8,0,0
"Austria",2020-01-09,2020,1,9,0,0
"Austria",2020-01-10,2020,1,10,0,0
"Austria",2020-01-11,2020,1,11,0,0
"Austria",2020-01-12,2020,1,12,0,0
"Austria",2020-01-13,2020,1,13,0,0
"Austria",2020-01-14,2020,1,14,0,0
"Austria",2020-01-15,2020,1,15,0,0
"Austria",2020-01-16,2020,1,16,0,0
"Austria",2020-01-17,2020,1,17,0,0
"Austria",2020-01-18,2020,1,18,0,0
"Austria",2020-01-19,2020,1,19,0,0
"Austria",2020-01-20,2020,1,20,0,0
"Austria",2020-01-21,2020,1,21,0,0
"Austria",2020-01-22,2020,1,22,0,0
"Austria",2020-01-23,2020,1,23,0,0
"Austria",2020-01-24,2020,1,24,0,0
"Austria",2020-01-25,2020,1,25,0,0
"Austria",2020-01-26,2020,1,26,0,0
"Austria",2020-01-27,2020,1,27,0,0
"Austria",2020-01-28,2020,1,28,0,0
"Austria",2020-01-29,2020,1,29,0,0
"Austria",2020-01-30,2020,1,30,0,0
"Austria",2020-01-31,2020,1,31,0,0
"Austria",2020-02-01,2020,2,1,0,0
"Austria",2020-02-02,2020,2,2,0,0
"Austria",2020-02-03,2020,2,3,0,0
"Austria",2020-02-04,2020,2,4,0,0
"Austria",2020-02-05,2020,2,5,0,0
"Austria",2020-02-06,2020,2,6,0,0
"Austria",2020-02-07,2020,2,7,0,0
"Austria",2020-02-08,2020,2,8,0,0
"Austria",2020-02-09,2020,2,9,0,0
"Austria",2020-02-10,2020,2,10,0,0
"Austria",2020-02-11,2020,2,11,0,0
"Austria",2020-02-12,2020,2,12,0,0
"Austria",2020-02-13,2020,2,13,0,0
"Austria",2020-02-14,2020,2,14,0,0
"Austria",2020-02-15,2020,2,15,0,0
"Austria",2020-02-16,2020,2,16,0,0
"Austria",2020-02-17,2020,2,17,0,0
"Austria",2020-02-18,2020,2,18,0,0
"Austria",2020-02-19,2020,2,19,0,0
"Austria",2020-02-20,2020,2,20,0,0
"Austria",2020-02-21,2020,2,21,0,0
"Austria",2020-02-22,2020,2,22,0,0
"Austria",2020-02-23,2020,2,23,0,0
"Austria",2020-02-24,2020,2,24,0,0
"Austria",2020-02-25,2020,2,25,0,0
"Austria",2020-02-26,2020,2,26,2,0
"Austria",2020-02-27,2020,2,27,0,0
"Austria",2020-02-28,2020,2,28,3,0
"Austria",2020-02-29,2020,2,29,2,0
"Austria",2020-03-01,2020,3,1,3,0
"Austria",2020-03-02,2020,3,2,4,0
"Austria",2020-03-03,2020,3,3,4,0
"Austria",2020-03-04,2020,3,4,6,0
"Austria",2020-03-05,2020,3,5,5,0
"Austria",2020-03-06,2020,3,6,12,0
"Austria",2020-03-07,2020,3,7,33,0
"Austria",2020-03-08,2020,3,8,25,0
"Austria",2020-03-09,2020,3,9,3,0
"Austria",2020-03-10,2020,3,10,29,0
"Austria",2020-03-11,2020,3,11,51,0
"Austria",2020-03-12,2020,3,12,64,0
"Austria",2020-03-13,2020,3,13,115,1
"Austria",2020-03-14,2020,3,14,143,0
"Austria",2020-03-15,2020,3,15,151,0
"Austria",2020-03-16,2020,3,16,205,0
"Austria",2020-03-17,2020,3,17,156,2
"Austria",2020-03-18,2020,3,18,316,0
"Austria",2020-03-19,2020,3,19,314,1
"Austria",2020-03-20,2020,3,20,550,2
"Austria",2020-03-21,2020,3,21,453,0
"Austria",2020-03-22,2020,3,22,375,2
"Austria",2020-03-23,2020,3,23,607,8
"Austria",2020-03-24,2020,3,24,855,9
"Austria",2020-03-25,2020,3,25,796,5
"Austria",2020-03-26,2020,3,26,606,4
"Austria",2020-03-27,2020,3,27,1141,18
"Austria",2020-03-28,2020,3,28,668,16
"Austria",2020-03-29,2020,3,29,594,0
"Austria",2020-03-30,2020,3,30,522,18
"Austria",2020-03-31,2020,3,31,805,22
"Austria",2020-04-01,2020,4,1,564,20
